date,start_time,round,dayofweek,venue,result,goals_for,goals_against,opponent,passes_completed_x,passes_x,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,goals,shots,shots_on_target,shots_on_target_pct,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,passes_y,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses_x,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed_y,passes_offsides,passes_blocked,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won_x,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions_x,tackles_interceptions,clearances,errors,possession,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses_y,interceptions_y,tackles_won_y,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,season
2021-05-09,19:00,Matchweek 35,Sun,Away,L,1,3,West Brom,233,336,69.3,4777,1747,80,100,80.0,109,132,82.6,36,85,42.4,1,1.7,0.9,9,23,6,3,28,1,12,1,8.3,0.08,1.0,19.3,0,0,0,1.8,1.8,0.15,-0.8,-0.8,336,290,44,7,0,2,23,21,6,4,0,0,233,2,2,17,14,2,0,0,1,0,1,1,0,0,0,0,0,14,11,9,3,2,8,15,53.3,7,7,3,4,13,27,12,1,35,432,52,151,170,118,14,432,12,5,41.7,7,58.3,213,1164,620,12,9,5,18,4,228,28,2,0,0,9,7,2,23,13,11,0,0,0,48,12,11,52.2,2020
2021-05-12,20:15,Matchweek 36,Wed,Home,L,0,1,Chelsea,722,828,87.2,10498,2855,415,448,92.6,246,273,90.1,36,62,58.1,0,0.9,1.4,16,53,17,5,58,0,19,4,21.1,0.0,0.0,15.0,0,0,0,1.8,1.8,0.09,-1.8,-1.8,828,781,43,8,1,2,32,20,9,5,4,0,722,4,9,33,25,4,2,2,0,0,0,0,0,0,0,0,0,4,4,1,2,1,2,6,33.3,4,11,2,9,6,10,5,1,67,909,60,204,369,340,49,909,22,12,54.5,10,45.5,608,2990,1614,23,21,8,15,4,718,58,0,0,0,7,5,4,32,6,4,0,0,0,44,17,8,68.0,2020
2021-05-19,19:00,Matchweek 37,Wed,Home,L,1,3,Crystal Palace,208,312,66.7,3897,1687,90,114,78.9,74,107,69.2,33,65,50.8,1,1.0,1.0,12,19,7,4,26,1,12,6,50.0,0.08,0.17,13.6,0,0,0,1.0,1.0,0.08,0.0,0.0,312,265,44,9,0,0,28,20,6,2,1,3,208,3,7,23,14,5,1,0,3,0,2,0,1,0,0,1,0,20,12,12,6,2,7,14,50.0,7,11,2,9,8,28,24,0,32,434,55,139,196,105,25,434,9,6,66.7,3,33.3,206,1179,603,13,10,4,17,5,205,25,2,0,0,7,6,3,28,8,12,0,0,0,51,20,20,50.0,2020
2021-05-23,16:00,Matchweek 38,Sun,Away,L,0,2,Brighton,438,514,85.2,7590,2594,204,214,95.3,181,199,91.0,37,70,52.9,0,0.1,0.3,2,22,6,0,23,0,5,1,20.0,0.0,0.0,22.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,514,484,29,12,0,5,10,5,3,1,2,0,438,1,8,7,5,0,2,0,0,0,0,0,0,0,0,0,0,17,12,10,4,3,10,16,62.5,6,15,4,11,13,30,19,0,46,610,100,287,211,115,9,610,6,3,50.0,3,50.0,382,1951,981,9,11,1,17,11,437,23,0,0,0,8,10,1,10,13,12,0,0,0,52,3,7,30.0,2020
2021-08-13,20:00,Matchweek 1,Fri,Home,W,2,0,Brentford,217,343,63.3,4166,1935,94,123,76.4,83,107,77.6,34,82,41.5,1,0.8,0.5,6,20,8,1,22,2,8,3,37.5,0.25,0.67,12.1,0,0,0,1.2,1.2,0.15,0.8,0.8,343,295,47,9,1,0,9,19,2,2,0,0,217,1,11,13,11,1,1,0,0,0,1,1,0,0,0,0,0,20,12,10,8,2,11,20,55.0,9,8,4,4,9,29,22,0,36,455,75,202,167,90,18,455,11,7,63.6,4,36.4,165,1010,450,9,10,4,16,5,216,22,0,0,0,12,7,1,9,9,12,0,0,0,44,17,20,45.9,2021
2021-08-22,16:30,Matchweek 2,Sun,Away,W,2,0,Chelsea,607,692,87.7,9081,3044,328,347,94.5,213,236,90.3,31,55,56.4,2,3.0,2.4,18,28,18,2,49,2,22,5,22.7,0.09,0.4,16.0,0,0,0,3.1,3.1,0.14,-1.1,-1.1,692,643,49,14,3,4,17,22,8,6,0,0,607,0,10,42,37,1,1,2,1,0,4,4,0,0,0,0,0,11,5,7,3,1,4,13,30.8,9,6,1,5,10,21,26,0,65,795,95,300,306,190,38,795,16,7,43.8,9,56.3,493,1992,1121,22,14,8,11,11,603,49,0,0,0,4,10,0,17,10,5,0,0,0,35,18,11,62.1,2021
2021-08-28,12:30,Matchweek 3,Sat,Home,W,5,0,Manchester City,721,813,88.7,10729,3207,373,391,95.4,288,319,90.3,32,64,50.0,4,3.8,3.6,21,52,21,6,69,5,25,10,40.0,0.2,0.5,14.8,0,0,0,4.4,4.4,0.18,0.6,0.6,813,760,52,10,8,1,30,23,14,4,2,0,721,1,5,49,45,1,1,1,1,0,10,10,0,0,0,0,0,14,10,2,8,4,6,8,75.0,2,3,0,3,4,18,3,0,80,879,34,145,387,350,45,879,14,7,50.0,7,50.0,559,2749,1574,32,27,13,8,2,710,69,1,0,0,5,7,1,30,4,10,0,0,0,45,13,9,59.1,2021
2021-09-11,15:00,Matchweek 4,Sat,Away,L,0,1,Norwich City,348,454,76.7,5776,2237,182,208,87.5,128,162,79.0,31,61,50.8,0,0.5,0.8,7,18,8,4,26,0,10,1,10.0,0.0,0.0,19.9,1,0,0,0.7,0.7,0.07,-0.7,-0.7,454,398,56,10,1,2,18,25,4,3,0,0,348,0,13,19,14,3,0,1,1,0,0,0,0,0,0,0,0,20,13,10,7,3,11,18,61.1,7,14,11,3,8,28,22,0,49,565,106,244,197,125,21,565,23,7,30.4,16,69.6,338,1684,722,9,9,4,14,0,344,26,2,0,0,11,9,0,18,8,13,0,0,0,45,16,19,45.7,2021
2021-09-18,15:00,Matchweek 5,Sat,Home,L,0,1,Burnley,326,472,69.1,6517,2688,137,163,84.0,129,166,77.7,54,106,50.9,0,0.5,1.1,11,31,12,7,37,0,18,3,16.7,0.0,0.0,15.4,0,0,0,1.0,1.0,0.06,-1.0,-1.0,472,421,47,10,1,3,41,22,8,5,0,0,326,4,12,34,27,2,0,3,2,0,0,0,0,0,0,0,0,14,6,6,5,3,8,13,61.5,5,13,6,7,15,29,15,0,46,574,38,136,254,186,34,574,6,3,50.0,3,50.0,284,1302,704,11,9,1,11,15,325,37,2,0,0,9,8,4,41,15,6,0,0,0,56,29,23,55.8,2021
2021-09-26,16:30,Matchweek 6,Sun,Away,L,1,3,Tottenham,445,537,82.9,7565,2376,221,236,93.6,150,176,85.2,52,84,61.9,1,1.0,0.6,8,35,4,2,27,1,10,4,40.0,0.1,0.25,16.3,0,0,0,1.0,1.0,0.1,0.0,0.0,537,477,56,14,2,4,19,27,4,3,1,0,445,4,10,18,12,3,0,2,0,1,2,2,0,0,0,0,0,14,11,3,9,2,5,10,50.0,5,9,1,8,8,22,9,1,54,617,55,158,314,149,11,617,16,10,62.5,6,37.5,326,1827,929,18,21,3,15,16,441,27,1,0,0,13,12,4,19,8,11,0,0,0,47,11,15,42.3,2021
2021-10-02,17:30,Matchweek 7,Sat,Home,D,0,0,Brighton,444,543,81.8,7911,2825,205,229,89.5,171,198,86.4,49,81,60.5,0,1.0,1.0,18,33,12,2,48,0,21,2,9.5,0.0,0.0,17.7,0,0,0,1.1,1.1,0.05,-1.1,-1.1,543,502,40,6,5,2,26,18,8,3,5,0,444,1,10,40,32,5,1,2,0,0,0,0,0,0,0,0,0,16,5,7,6,3,8,14,57.1,6,15,1,14,9,25,14,0,58,651,52,154,297,204,28,651,8,6,75.0,2,25.0,280,1521,819,15,18,2,18,6,441,48,2,0,0,8,5,1,26,9,5,0,0,0,57,16,7,69.6,2021
2021-10-18,20:00,Matchweek 8,Mon,Away,D,2,2,Crystal Palace,428,513,83.4,7748,2526,188,207,90.8,191,216,88.4,43,68,63.2,2,0.6,0.3,7,28,1,0,34,2,9,6,66.7,0.22,0.33,21.4,0,0,0,0.7,0.7,0.08,1.3,1.3,513,474,36,7,0,2,10,18,3,1,2,0,428,3,8,12,11,0,0,0,0,1,2,2,0,0,0,0,0,22,16,19,1,2,12,20,60.0,8,8,2,6,7,29,18,0,46,631,76,239,294,104,10,631,20,7,35.0,13,65.0,427,1942,1025,19,9,4,18,4,423,34,1,0,0,4,7,3,10,7,16,0,0,0,50,20,7,74.1,2021
2021-10-22,20:00,Matchweek 9,Fri,Away,L,1,3,Aston Villa,332,429,77.4,6106,2637,146,172,84.9,143,168,85.1,40,74,54.1,1,1.4,0.6,8,24,5,1,28,1,10,4,40.0,0.1,0.25,17.2,1,0,0,1.4,1.4,0.14,-0.4,-0.4,429,377,52,17,4,2,12,19,4,2,0,1,332,0,8,19,14,1,1,1,1,1,2,2,0,0,0,0,0,14,8,5,4,5,8,12,66.7,4,12,5,7,11,25,18,1,47,534,76,204,229,104,16,534,15,9,60.0,6,40.0,341,1876,1043,23,9,4,16,7,326,27,5,0,0,10,17,0,12,11,8,0,1,0,49,15,11,57.7,2021
2021-10-30,12:30,Matchweek 10,Sat,Home,L,0,2,Leicester City,575,675,85.2,10627,3461,216,244,88.5,292,309,94.5,57,93,61.3,0,0.8,0.7,10,50,9,3,62,0,16,8,50.0,0.0,0.0,17.3,2,0,0,1.3,1.3,0.08,-1.3,-1.3,675,623,50,10,3,4,22,24,7,3,4,0,575,2,10,30,22,2,0,2,3,1,0,0,0,0,0,0,0,11,6,2,7,2,6,16,37.5,10,9,3,6,7,18,16,1,64,772,74,233,359,184,25,772,10,4,40.0,6,60.0,411,1940,960,11,19,5,22,1,573,62,2,0,0,8,11,2,22,7,6,0,0,0,46,15,9,62.5,2021
2021-11-07,14:00,Matchweek 11,Sun,Away,L,0,1,Watford,254,361,70.4,5055,1899,103,125,82.4,106,132,80.3,39,82,47.6,0,0.4,0.2,6,21,5,4,27,0,7,1,14.3,0.0,0.0,19.7,0,0,0,0.5,0.5,0.07,-0.5,-0.5,361,318,40,9,0,0,15,23,2,1,0,0,254,3,6,13,11,1,1,0,0,0,0,0,0,0,0,0,0,15,10,8,4,3,9,24,37.5,15,7,3,4,11,26,23,0,40,472,68,183,193,102,13,472,17,8,47.1,9,52.9,237,1462,574,11,10,3,18,13,249,27,4,1,1,19,6,3,15,11,10,0,1,0,52,9,17,34.6,2021
2021-11-20,17:30,Matchweek 12,Sat,Home,W,4,0,Liverpool,587,677,86.7,10307,3392,234,253,92.5,286,312,91.7,48,81,59.3,3,3.1,2.1,13,31,6,1,44,4,19,9,47.4,0.21,0.44,13.4,0,0,0,4.3,4.3,0.23,-0.3,-0.3,677,628,47,20,0,2,17,17,6,2,4,0,587,2,4,31,21,3,2,2,2,1,7,4,1,1,0,1,0,14,8,1,8,5,6,15,40.0,9,5,2,3,4,18,9,0,62,778,85,264,368,154,40,778,24,9,37.5,15,62.5,441,1878,984,21,15,11,14,3,585,43,2,0,0,15,11,2,17,4,8,0,0,0,55,10,10,50.0,2021
2021-11-27,12:30,Matchweek 13,Sat,Away,L,0,2,Newcastle Utd,276,358,77.1,4683,1751,131,147,89.1,112,134,83.6,23,58,39.7,0,0.1,0.6,5,20,3,0,16,0,9,5,55.6,0.0,0.0,24.5,0,0,0,0.3,0.3,0.03,-0.3,-0.3,358,326,29,5,1,2,14,5,4,3,1,0,276,3,3,13,9,1,2,0,0,1,0,0,0,0,0,0,0,13,9,8,5,0,5,20,25.0,15,17,6,11,11,24,21,0,34,462,82,249,133,91,13,462,16,9,56.3,7,43.8,294,1749,845,14,16,3,17,7,276,16,3,0,0,12,5,3,14,11,9,0,0,0,39,5,11,31.3,2021
2021-12-02,20:15,Matchweek 14,Thu,Home,W,3,2,Manchester Utd,369,461,80.0,6397,2178,169,199,84.9,155,188,82.4,32,55,58.2,2,1.2,0.8,13,40,9,1,42,3,13,9,69.2,0.15,0.22,19.7,0,1,1,1.9,1.2,0.09,1.1,0.8,461,422,39,10,0,4,12,16,3,1,1,0,369,0,1,27,23,1,2,0,1,0,6,5,0,0,0,1,0,18,13,14,2,2,5,19,26.3,14,12,4,8,9,27,19,1,44,561,56,182,230,158,18,560,9,4,44.4,5,55.6,289,1703,947,21,18,5,11,5,366,42,1,0,0,9,10,0,12,9,13,1,0,0,55,22,16,57.9,2021
2021-12-06,20:00,Matchweek 15,Mon,Home,W,2,1,Everton,257,378,68.0,5149,2247,95,134,70.9,118,148,79.7,34,62,54.8,1,0.5,0.5,7,22,6,3,28,2,11,5,45.5,0.18,0.4,17.1,0,0,0,0.9,0.9,0.09,1.1,1.1,378,322,51,11,2,4,13,28,3,1,1,0,257,5,10,17,11,2,1,2,0,1,3,1,0,1,1,0,0,13,7,5,5,3,1,12,8.3,11,14,3,11,11,24,13,0,37,480,56,144,217,127,14,480,14,6,42.9,8,57.1,249,1319,665,12,8,1,17,11,254,28,2,0,0,8,12,5,13,11,7,0,0,0,60,15,14,51.7,2021
2021-12-11,15:00,Matchweek 16,Sat,Away,L,0,3,Southampton,250,354,70.6,4700,1831,106,129,82.2,108,137,78.8,31,70,44.3,0,0.5,0.2,7,19,4,0,33,0,11,6,54.5,0.0,0.0,22.1,3,0,0,0.6,0.6,0.06,-0.6,-0.6,354,308,45,5,0,2,13,20,8,3,3,0,250,1,5,18,10,1,1,2,3,1,0,0,0,0,0,0,0,12,4,9,3,0,5,10,50.0,5,14,3,11,8,20,24,1,39,470,64,169,207,98,14,470,5,2,40.0,3,60.0,222,940,417,5,12,2,24,5,246,31,0,0,0,9,5,1,13,8,4,0,0,0,54,22,21,51.2,2021
2021-12-15,20:00,Matchweek 17,Wed,Away,L,0,2,West Ham,341,434,78.6,5960,1780,157,173,90.8,123,155,79.4,44,77,57.1,0,0.2,0.3,4,18,5,2,21,0,7,1,14.3,0.0,0.0,22.3,1,0,0,0.4,0.4,0.05,-0.4,-0.4,434,387,47,8,0,5,17,28,2,2,0,0,341,0,5,12,10,0,0,0,2,0,0,0,0,0,0,0,0,18,14,11,4,3,6,16,37.5,10,16,8,8,11,29,22,0,45,547,82,206,208,134,10,547,14,9,64.3,5,35.7,294,1261,467,14,9,1,17,17,336,20,2,1,1,9,9,0,17,11,14,0,1,0,43,20,18,52.6,2021
2021-12-18,17:30,Matchweek 18,Sat,Home,L,1,4,Leeds United,344,447,77.0,5441,2271,147,175,84.0,139,160,86.9,30,61,49.2,0,0.8,0.3,6,23,9,2,29,1,8,1,12.5,0.0,0.0,24.8,0,1,1,1.6,0.8,0.11,-0.6,-0.8,447,402,45,7,1,2,9,27,1,1,0,0,344,0,10,16,12,1,1,0,1,1,2,1,0,0,0,1,0,14,4,8,5,1,7,13,53.8,6,12,5,7,9,23,16,2,51,557,71,268,205,95,15,556,15,11,73.3,4,26.7,292,1427,695,12,7,2,18,9,340,29,3,0,0,11,6,0,9,9,4,1,0,0,51,6,11,35.3,2021
2021-12-26,15:00,Matchweek 19,Sun,Home,L,0,5,Norwich City,249,352,70.7,4591,1814,108,128,84.4,101,131,77.1,32,68,47.1,0,0.1,0.2,4,11,2,0,19,0,4,2,50.0,0.0,0.0,17.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,352,301,48,9,1,3,9,23,3,2,1,0,249,3,7,8,5,1,1,0,1,0,0,0,0,0,0,0,0,17,8,5,11,1,9,20,45.0,11,14,6,8,13,30,12,1,36,445,59,191,178,86,4,445,7,2,28.6,5,71.4,246,1435,684,12,14,2,13,8,244,18,1,0,0,13,7,3,9,13,8,0,1,0,51,10,22,31.3,2021
2022-01-01,12:30,Matchweek 21,Sat,Away,W,2,1,Manchester City,591,673,87.8,9646,2904,304,329,92.4,232,254,91.3,45,64,70.3,0,1.0,0.8,11,52,9,2,51,2,14,1,7.1,0.07,1.0,18.7,0,1,1,2.0,1.2,0.09,0.0,-0.2,673,633,38,13,2,3,9,12,5,1,0,0,591,2,6,29,24,2,0,1,2,0,3,1,0,0,1,1,0,14,7,4,3,7,8,17,47.1,9,2,1,1,2,16,23,1,71,779,77,229,341,214,32,778,18,10,55.6,8,44.4,559,2691,1428,22,22,10,18,8,587,51,2,0,0,5,12,2,9,2,7,1,0,0,44,16,5,76.2,2021
2022-01-23,14:00,Matchweek 23,Sun,Away,D,0,0,Burnley,146,233,62.7,2870,1453,63,77,81.8,57,83,68.7,22,63,34.9,0,0.3,0.3,9,14,4,0,13,0,10,1,10.0,0.0,0.0,21.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4,233,196,35,9,0,0,6,11,4,3,1,0,146,2,3,17,11,3,1,1,1,0,0,0,0,0,0,0,0,18,8,13,4,1,8,16,50.0,8,11,6,5,7,25,41,0,25,353,77,161,125,71,13,353,10,7,70.0,3,30.0,150,857,370,6,7,3,11,4,140,13,2,0,0,13,8,2,6,7,8,0,0,0,34,25,17,59.5,2021
2022-02-10,19:45,Matchweek 24,Thu,Home,L,0,1,Wolves,435,556,78.2,8155,2749,162,180,90.0,223,272,82.0,47,87,54.0,0,0.6,1.5,10,44,8,6,56,0,15,4,26.7,0.0,0.0,19.1,2,0,0,0.8,0.8,0.05,-0.8,-0.8,556,502,53,12,2,6,42,29,7,1,3,1,435,1,11,30,25,2,0,1,2,0,0,0,0,0,0,0,0,12,5,4,8,0,4,9,44.4,5,13,7,6,17,29,17,0,58,664,52,205,273,192,31,664,24,10,41.7,14,58.3,436,2320,1259,30,20,7,15,3,429,56,2,0,0,12,13,1,42,17,5,0,0,0,60,17,14,54.8,2021
2022-02-19,15:00,Matchweek 26,Sat,Away,L,1,2,Brentford,234,326,71.8,3919,1842,125,148,84.5,78,103,75.7,24,58,41.4,1,0.6,0.3,4,16,4,1,18,1,6,2,33.3,0.17,0.5,20.7,0,0,0,0.6,0.6,0.11,0.4,0.4,326,287,37,11,1,0,8,15,0,0,0,0,234,2,4,9,3,0,3,1,2,0,1,0,0,0,1,0,0,14,6,9,4,1,5,12,41.7,7,16,9,7,12,26,49,1,34,466,113,247,165,56,9,466,11,6,54.5,5,45.5,256,1069,495,7,2,2,10,9,231,17,1,0,0,5,9,2,8,12,6,0,0,0,46,17,10,63.0,2021
2022-02-24,19:45,Matchweek 20,Thu,Away,L,1,2,Wolves,328,441,74.4,5998,2043,143,166,86.1,143,161,88.8,39,91,42.9,0,0.6,0.3,4,14,3,2,15,1,6,2,33.3,0.17,0.5,14.8,0,0,0,1.0,1.0,0.17,0.0,0.0,441,395,44,9,1,3,9,14,4,0,4,0,328,2,15,9,6,0,2,1,0,0,1,0,0,1,0,0,0,21,15,15,6,0,9,27,33.3,18,15,9,6,16,37,23,0,44,558,93,281,214,70,8,558,15,9,60.0,6,40.0,336,1722,868,13,13,4,14,6,326,15,1,0,0,9,8,2,9,16,15,0,0,1,58,12,11,52.2,2021
2022-03-06,14:00,Matchweek 28,Sun,Home,L,2,3,Watford,365,478,76.4,6441,2667,168,207,81.2,147,166,88.6,36,77,46.8,2,0.9,0.4,10,23,7,2,37,2,13,7,53.8,0.15,0.29,19.0,2,0,0,1.0,1.0,0.07,1.0,1.0,478,416,60,10,0,3,10,36,1,1,0,0,365,2,12,26,18,0,4,0,3,1,4,3,0,1,0,0,0,17,6,4,9,4,6,14,42.9,8,7,3,4,16,33,18,2,44,592,63,230,229,137,22,592,21,13,61.9,8,38.1,281,1377,679,18,7,7,12,12,363,37,1,0,0,5,12,2,10,16,6,0,0,0,61,30,9,76.9,2021
2022-03-13,16:30,Matchweek 29,Sun,Away,L,0,2,Leicester City,519,605,85.8,8454,2659,272,290,93.8,175,199,87.9,51,77,66.2,0,0.3,0.5,5,33,8,1,34,0,6,3,50.0,0.0,0.0,15.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,605,555,50,10,2,7,14,23,6,4,0,0,519,0,8,11,8,1,0,0,1,1,0,0,0,0,0,0,0,17,10,5,9,3,11,17,64.7,6,14,9,5,10,27,13,0,54,701,79,228,344,131,16,701,4,0,0.0,4,100.0,490,2435,919,12,11,1,17,11,517,34,3,0,0,10,7,0,14,10,10,0,1,0,42,8,6,57.1,2021
2022-03-16,20:15,Matchweek 27,Wed,Away,W,2,0,Liverpool,457,572,79.9,7819,2719,226,250,90.4,185,227,81.5,40,70,57.1,2,0.7,1.0,7,28,4,1,33,2,9,3,33.3,0.22,0.67,14.4,0,0,0,0.8,0.8,0.09,1.2,1.2,572,528,42,13,1,4,18,17,6,1,5,0,457,2,10,15,11,2,0,2,0,0,3,3,0,0,0,0,0,16,8,8,7,1,2,16,12.5,14,15,4,11,11,27,14,1,51,669,66,207,343,122,16,669,9,4,44.4,5,55.6,377,1594,838,15,12,5,17,11,456,33,1,0,0,9,7,2,18,11,8,0,0,0,59,15,6,71.4,2021
2022-03-19,12:30,Matchweek 30,Sat,Home,L,0,1,Aston Villa,404,496,81.5,6644,2404,200,219,91.3,166,191,86.9,26,64,40.6,0,0.2,0.4,4,33,9,4,36,0,8,1,12.5,0.0,0.0,16.8,2,0,0,0.5,0.5,0.06,-0.5,-0.5,496,448,47,13,0,2,27,20,6,4,1,0,404,1,3,15,11,1,1,0,2,0,0,0,0,0,0,0,0,10,6,8,2,0,4,7,57.1,3,12,4,8,4,14,15,0,47,570,78,212,228,136,18,570,11,6,54.5,5,45.5,378,2174,1075,20,14,3,12,8,401,35,3,0,0,13,14,1,27,4,6,0,0,0,39,5,6,45.5,2021
2022-04-04,20:00,Matchweek 31,Mon,Home,W,3,0,Crystal Palace,222,320,69.4,4324,1830,96,118,81.4,91,113,80.5,33,77,42.9,2,0.6,0.1,4,11,2,1,15,3,5,4,80.0,0.4,0.5,21.0,1,1,1,1.5,0.7,0.14,1.5,1.3,320,275,43,16,0,2,6,17,0,0,0,0,222,2,3,12,6,1,2,0,3,0,6,2,1,1,0,2,0,18,8,11,5,2,7,15,46.7,8,11,1,10,10,28,17,0,32,436,49,193,173,79,9,435,15,9,60.0,6,40.0,248,1251,461,7,8,1,24,10,221,15,0,0,0,11,14,2,6,10,8,1,0,0,55,11,10,52.4,2021
2022-04-09,15:00,Matchweek 32,Sat,Away,W,2,1,Brighton,217,316,68.7,3608,1260,100,117,85.5,92,108,85.2,14,58,24.1,2,0.5,0.3,6,6,5,0,20,2,8,3,37.5,0.25,0.67,23.1,0,0,0,0.6,0.6,0.07,1.4,1.4,316,273,41,14,0,1,10,19,2,1,1,0,217,2,10,15,12,1,1,0,0,1,4,4,0,0,0,0,0,21,13,12,7,2,6,12,50.0,6,17,10,7,16,37,30,0,36,440,78,187,169,88,8,440,8,5,62.5,3,37.5,206,977,529,11,12,0,18,6,216,19,4,0,0,19,10,2,10,16,13,0,0,0,46,16,9,64.0,2021
2022-04-16,15:00,Matchweek 33,Sat,Home,W,1,0,Southampton,140,238,58.8,2695,1272,55,75,73.3,57,74,77.0,20,66,30.3,1,0.7,0.2,6,11,2,0,14,1,9,3,33.3,0.11,0.33,15.9,1,0,0,0.8,0.8,0.09,0.2,0.2,238,196,40,5,1,1,10,13,6,4,2,0,140,2,7,11,6,2,0,1,2,0,2,2,0,0,0,0,0,14,7,8,4,2,6,17,35.3,11,12,4,8,17,31,35,1,25,369,73,165,121,85,13,369,11,4,36.4,7,63.6,167,904,357,10,6,2,12,5,138,14,2,0,0,6,6,2,10,17,7,0,0,0,43,18,19,48.6,2021
2022-04-20,19:45,Matchweek 25,Wed,Home,L,2,4,Chelsea,632,750,84.3,10151,2822,310,336,92.3,263,288,91.3,38,74,51.4,1,0.4,1.0,8,49,10,1,43,2,11,2,18.2,0.18,1.0,15.9,0,0,0,0.7,0.7,0.06,1.3,1.3,750,699,50,10,3,4,20,21,6,5,1,0,632,1,17,20,18,1,0,0,0,1,3,2,0,0,0,0,1,23,13,11,8,4,11,18,61.1,7,13,3,10,10,33,7,1,67,849,63,219,407,234,28,849,14,8,57.1,6,42.9,578,2810,1295,23,21,5,14,14,629,43,3,0,0,7,4,1,20,10,13,0,1,0,56,14,14,50.0,2021
2022-04-23,12:30,Matchweek 34,Sat,Away,L,1,3,Manchester Utd,358,451,79.4,5755,1917,176,205,85.9,144,171,84.2,29,56,51.8,1,0.9,0.5,11,17,5,1,29,1,13,5,38.5,0.08,0.2,18.1,0,0,1,1.8,1.0,0.08,-0.8,0.0,451,402,47,10,0,2,16,19,7,5,1,0,358,2,5,24,19,2,0,3,0,0,2,2,0,0,0,0,0,13,10,6,6,1,5,9,55.6,4,9,2,7,9,22,17,0,46,545,55,195,236,121,15,544,9,5,55.6,4,44.4,306,1727,748,16,11,1,14,6,355,29,4,0,0,12,8,2,16,9,10,0,1,0,41,15,5,75.0,2021
2022-05-01,16:30,Matchweek 35,Sun,Home,L,1,2,West Ham,533,638,83.5,8519,2573,259,286,90.6,205,229,89.5,39,77,50.6,1,0.4,0.4,6,41,6,3,38,1,8,3,37.5,0.13,0.33,14.0,0,0,0,0.5,0.5,0.06,0.5,0.5,638,593,44,9,0,4,22,23,3,3,0,0,533,1,9,15,13,2,0,0,0,0,2,2,0,0,0,0,0,11,6,6,4,1,5,15,33.3,10,9,2,7,8,19,9,1,57,717,54,196,344,186,14,717,13,5,38.5,8,61.5,513,2756,1134,22,23,4,5,8,532,38,2,0,0,7,7,1,22,8,6,0,0,0,46,14,18,43.8,2021
2022-05-08,14:00,Matchweek 36,Sun,Away,L,1,2,Leeds United,302,389,77.6,5213,1867,149,160,93.1,112,139,80.6,32,69,46.4,1,0.3,0.3,2,7,1,0,12,1,3,2,66.7,0.33,0.5,11.0,0,0,0,0.3,0.3,0.1,0.7,0.7,389,347,42,14,0,6,8,10,2,2,0,0,302,0,6,6,4,2,0,0,0,0,2,1,1,0,0,0,0,24,15,18,4,2,12,27,44.4,15,10,2,8,2,26,25,1,36,482,103,285,170,30,7,482,11,2,18.2,9,81.8,225,1126,477,6,4,2,6,7,299,12,2,1,0,15,12,0,8,2,15,0,0,0,44,8,7,53.3,2021
